Word	Joy	Anger	Sadness	Fear	Disgust
adept	2.74029994	1.333400011	1.2773	1.340800047	1.257400036
adequate	1.540099978	1.265100002	1.009500027	1.194399953	1.7227
adhere	1.845900059	1.450799942	1.649299979	1.581200004	1.322299957
adhesive	2.694000006	1.244099975	1.286599994	1.279500008	1.225399971
Adidas	2.300100088	1.349599957	1.279099941	1.346600056	1.280599952
adjacent	1.728899956	1.335800052	1.429100037	1.325899959	1.229200006
adjective	2.407700062	1.265200019	1.251600027	1.275400043	1.24150002
adjoining	1.708299994	1.350499988	1.34829998	1.362699986	1.334300041
adjourn	1.801300049	1.252799988	1.235700011	1.257799983	1.252500057
adjust	1.965600014	1.228000045	1.213099957	1.242900014	1.223700047
adjuster	1.488700032	1.316799998	1.144500017	1.217200041	1.782299995
adjustment	2.123899937	1.503299952	1.588400006	1.674999952	1.400699973
admin	1.511199951	1.319399953	1.153499961	1.239899993	1.716300011
administer	1.511399984	1.342200041	1.008999944	1.190799952	1.952800035
administration	1.536200047	1.439200044	1.500499964	1.379799962	1.524099946
administrative	1.564700007	1.281599998	1.208400011	1.245800018	1.380200028
administrator	1.921499968	1.582900047	1.425300002	1.715399981	1.449000001
admirable	3.523799896	1.255599976	1.303900003	1.324300051	1.204300046
admiral	1.600200057	1.379099965	1.267199993	1.355800033	1.465000033
admiralty	2.900399923	1.338199973	1.311800003	1.365399957	1.269000053
admiration	3.909699917	1.271399975	1.319200039	1.359400034	1.201599956
admire	3.587899923	1.329900026	1.279500008	1.406900048	1.220800042
admired	3.563999891	1.319599986	1.305099964	1.485900044	1.245800018
admirer	3.521300077	1.357900023	1.35800004	1.474400043	1.271199942
admissible	1.617300034	1.255100012	1.218899965	1.241899967	1.256600022
admission	2.724499941	1.26760006	1.298300028	1.283300042	1.25059998
admit	2.206199884	1.278499961	1.30369997	1.318300009	1.261000037
admittance	3.068799973	1.23269999	1.269400001	1.258900046	1.209499955
ado	1.642099977	1.378900051	1.380499959	1.378800035	1.363199949
adobe	1.722100019	1.347499967	1.296000004	1.348500013	1.310500026
adolescence	2.441600084	1.449100018	1.579599977	1.691900015	1.346899986
adolescent	2.020999908	1.481899977	1.656200051	1.715499997	1.388599992
adopt	3.496400118	1.281800032	1.331699967	1.350399971	1.228500009
adoption	3.318500042	1.31099999	1.343199968	1.378299952	1.252200007
adoptive	2.352799892	1.396199942	1.344400048	1.447299957	1.319700003
adorable	3.705199957	1.220000029	1.271299958	1.282999992	1.180999994
adoration	3.069999933	1.320799947	1.279500008	1.356600046	1.24059999
adore	3.747200012	1.322199941	1.34070003	1.415599942	1.235999942
adoring	3.723400116	1.243299961	1.291800022	1.32249999	1.18690002
adrenalin	2.886499882	1.396199942	1.488499999	1.542400002	1.316200018
adrenaline	3.162199974	1.409500003	1.420600057	1.530099988	1.317899942
adrift	1.555199981	1.541399956	1.719599962	1.492900014	1.393300056
adult	2.530400038	1.369300008	1.286399961	1.382400036	1.283400059
adulterer	1.180400014	2.798799992	2.843699932	2.944000006	2.33100009
adultery	1.243999958	2.50819993	2.652899981	3.260200024	2.074300051
adulthood	1.656499982	1.387199998	1.23239994	1.368199944	1.437299967
advance	2.818000078	1.395699978	1.32949996	1.453999996	1.297000051
advanced	2.345299959	1.294199944	1.223799944	1.302899957	1.233399987
advancement	3.794500113	1.300799966	1.324800014	1.393300056	1.219900012
advantage	3.006400108	1.277999997	1.244699955	1.300500035	1.212200046
advantageous	3.334899902	1.363000035	1.357200027	1.482300043	1.283599973
adventure	3.772200108	1.343799949	1.351999998	1.457399964	1.249600053
adventurer	3.528399944	1.311400056	1.342399955	1.388800025	1.243000031
adventurous	3.878099918	1.340499997	1.368800044	1.47420001	1.243499994
adversary	1.563699961	1.765900016	1.562000036	1.749199986	1.719300032
adverse	1.459699988	1.798799992	2.227099895	2.016700029	1.450399995
adversity	1.518100023	1.590800047	1.582100034	1.548699975	1.701599956
advertise	1.718700051	1.417600036	1.323400021	1.416900039	1.33920002
advertisement	1.488899946	1.516700029	1.054999948	1.246199965	2.17050004
advertising	1.561499953	1.377400041	1.399799943	1.336599946	1.418499947
advice	2.068200111	1.230900049	1.224300027	1.246799946	1.226500034
advisable	2.318599939	1.395099998	1.32130003	1.437600017	1.315000057
advise	1.738800049	1.266199946	1.218700051	1.261800051	1.252900004
advisement	1.544700027	1.37650001	1.156800032	1.305199981	1.688799977
adviser	1.937700033	1.253000021	1.227900028	1.25849998	1.244799972
advisor	1.560299993	1.298900008	1.246500015	1.259199977	1.373600006
advisory	1.727900028	1.570500016	1.664000034	1.720199943	1.464300036
advocate	1.767099977	1.421000004	1.080600023	1.319000006	1.604799986
aerial	2.951800108	1.261199951	1.307800055	1.297999978	1.234500051
aerobics	2.618900061	1.419499993	1.370000005	1.5352	1.329300046
aerodynamic	2.88560009	1.327499986	1.354099989	1.389999986	1.277099967
aerospace	2.420099974	1.370800018	1.377300024	1.429800034	1.318199992
aesthetic	1.740300059	1.247699976	1.232300043	1.254999995	1.248299956
affair	1.271700025	2.776499987	1.444700003	1.578199983	2.807800055
affect	1.930199981	1.284100056	1.230599999	1.284199953	1.254099965
affection	4.051799774	1.257500052	1.307299972	1.351300001	1.187399983
affectionate	3.573499918	1.277799964	1.277999997	1.337599993	1.202600002
affidavit	1.575199962	1.620900035	1.772099972	1.715299964	1.488299966
affiliation	1.826799989	1.345800042	1.314100027	1.355900049	1.312299967
affinity	2.3829	1.357300043	1.271299958	1.352499962	1.274399996
affirmation	2.344399929	1.311800003	1.248800039	1.313799977	1.253600001
affirmative	2.114599943	1.279800057	1.216799974	1.286200047	1.235599995
affliction	1.303900003	2.4848001	2.152699947	2.653700113	2.29369998
afford	3.170799971	1.296800017	1.279399991	1.331500053	1.226799965
affordable	3.881299973	1.18659997	1.273000002	1.251000047	1.153599977
affront	1.558300018	1.805400014	1.565600038	1.776800036	1.755699992
afire	2.362299919	1.50849998	1.651100039	2.005500078	1.352300048
afloat	2.236999989	1.352900028	1.363899946	1.401499987	1.31309998
aforementioned	1.721300006	1.308599949	1.299900055	1.321799994	1.300699949
afraid	1.138499975	2.795200109	3.33949995	2.901799917	2.314399958
african	3.1947999	1.257300019	1.297000051	1.301900029	1.22300005
afterlife	2.145699978	1.392500043	1.313799977	1.421599984	1.317000031
aftermath	1.587100029	1.989899993	1.870200038	2.546900034	1.870300055
afternoon	3.484600067	1.200600028	1.264899969	1.250699997	1.169199944
aftershave	1.922000051	1.272699952	1.252099991	1.276600003	1.264199972
age	2.524100065	1.302700043	1.333699942	1.354799986	1.270099998
agency	1.673799992	1.294100046	1.285599947	1.300199986	1.292999983
agenda	1.634199977	1.33010006	1.300400019	1.323199987	1.317399979
agent	1.665500045	1.280500054	1.255200028	1.277799964	1.280099988
aggravate	1.159000039	2.965500116	2.45449996	2.439800024	2.810800076
aggravation	1.176399946	2.664000034	2.539499998	2.438499928	2.912100077
aggression	1.172399998	2.818399906	2.414599895	2.801800013	2.578700066
aggressive	1.211300015	3.064800024	1.848199964	1.961899996	2.573499918
aggressiveness	1.286800027	3.054500103	2.192699909	3.00819993	2.077500105
aggressor	1.158599973	3.062099934	2.560400009	3.05189991	2.353399992
agile	2.599400043	1.456900001	1.348199964	1.551200032	1.331099987
agility	3.180299997	1.281200051	1.276200056	1.309100032	1.220800042
aging	1.238600016	2.17869997	2.60890007	2.217099905	1.807399988
agitate	1.221699953	2.820300102	2.355600119	2.987299919	2.199399948
agitation	1.193199992	2.575400114	2.724499941	2.551500082	2.281899929
aglow	2.463099957	1.434499979	1.371899962	1.526800036	1.335700035
agonizing	1.159399986	3.004699945	2.682300091	3.244899988	2.279799938
agony	1.157500029	2.765899897	2.823299885	2.850899935	2.669500113
agree	3.651000023	1.210399985	1.270799994	1.249199986	1.181300044
agreeable	3.256500006	1.213600039	1.245900035	1.253399968	1.18719995
agreement	3.360699892	1.236999989	1.265799999	1.275699973	1.19690001
agricultural	1.878999949	1.281100035	1.257400036	1.28489995	1.270499945
agriculture	2.417900085	1.210299969	1.216400027	1.240399957	1.198899984
ahoy	2.213900089	1.328299999	1.31400001	1.338400006	1.293200016
aid	3.019500017	1.353999972	1.332100034	1.409199953	1.274299979
aide	1.887300014	1.319700003	1.196099997	1.315600038	1.289199948
aids	1.344799995	1.799600005	1.423900008	1.416700006	2.815299988
AIDS	1.042999983	2.925699949	3.916100025	3.247800112	2.764499903
ailing	1.178200006	2.303999901	2.16170001	2.097500086	3.134399891
ailment	1.23179996	2.155200005	2.676000118	2.204999924	1.753399968
aim	2.376300097	1.317199945	1.253900051	1.318300009	1.256500006
air	3.53399992	1.192499995	1.262099981	1.243800044	1.160300016
airbag	1.974099994	1.311699986	1.32249999	1.336500049	1.296599984
airborne	1.834100008	1.334400058	1.347499967	1.366299987	1.315199971
aircraft	2.985899925	1.353500009	1.359500051	1.430199981	1.288800001
aircraft carrier	1.887899995	1.511800051	1.351799965	1.568500042	1.397099972
airfield	2.344000101	1.389799953	1.414700031	1.476500034	1.333099961
airhead	1.470299959	1.886700034	1.8829	1.993700027	1.861799955
airline	1.972599983	1.40199995	1.388700008	1.442899942	1.345900059
airliner	2.669199944	1.34800005	1.483299971	1.500800014	1.291000009
airlock	1.657999992	1.523800015	1.451699972	1.537899971	1.435099959
airplane	1.820799947	1.734099984	1.737900019	2.484899998	1.496600032
airport	2.542900085	1.49090004	1.413800001	1.697700024	1.386700034
airship	2.164499998	1.515699983	1.629999995	1.776499987	1.403699994
airspace	2.103100061	1.431200027	1.437899947	1.501199961	1.363999963
airspeed	1.68599999	1.514700055	1.410300016	1.523200035	1.420600057
airstrip	1.613700032	1.404199958	1.372200012	1.392699957	1.373100042
airtight	1.691200018	1.312100053	1.306300044	1.321400046	1.306200027
airway	1.736700058	1.58010006	1.75150001	1.797799945	1.463199973
aisle	1.649999976	1.261800051	1.255200028	1.266600013	1.265200019
ajar	1.611799955	1.300199986	1.280300021	1.291100025	1.301599979
aka	1.611799955	1.430199981	1.457399964	1.416200042	1.395099998
alabaster	2.097199917	1.333099961	1.316200018	1.345800042	1.299100041
alarm	1.44509995	3.494499922	1.717000008	2.2026999	1.995200038
alarm clock	1.283800006	2.629199982	2.004199982	2.174000025	2.614900112
alarming	1.357900023	2.397099972	2.263799906	3.008699894	1.930600047
albatross	2.354700089	1.241999984	1.268700004	1.274199963	1.232300043
albino	1.691799998	1.414000034	1.539899945	1.425400019	1.296499968
album	2.763600111	1.425600052	1.388800025	1.610100031	1.349900007
alcohol	1.536499977	1.981999993	1.887400031	2.510699987	1.898900032
alcoholic	1.172199965	2.780999899	2.924599886	2.83010006	2.401000023
alcoholism	1.123600006	2.696500063	3.571700096	2.918600082	2.222199917
alcove	1.912799954	1.264999986	1.261199951	1.277699947	1.263599992
alderman	1.508399963	1.407600045	1.449699998	1.330600023	1.548599958
ale	2.731100082	1.319000006	1.345000029	1.368399978	1.277400017
alert	2.063699961	1.575700045	1.288400054	1.625800014	1.470399976
alfalfa	1.584900022	1.32130003	1.236400008	1.293900013	1.415300012
algebra	2.002599955	1.561699986	1.62409997	1.753999949	1.445000052
algorithm	1.950299978	1.427999973	1.572000027	1.578799963	1.348799944
alias	1.697999954	1.585000038	1.313699961	1.546700001	1.576599956
alibi	1.47179997	1.905699968	1.525200009	1.618700027	2.023000002
alien	1.618999958	1.775300026	1.89320004	2.424599886	1.57130003
alienate	1.140599966	2.274199963	2.48029995	2.237499952	2.867199898
alienation	1.192199945	2.64470005	2.835500002	2.664200068	2.357199907
alight	2.180500031	1.315299988	1.279399991	1.317600012	1.27820003
align	2.34739995	1.23269999	1.236799955	1.250800014	1.225000024
alignment	2.509299994	1.307000041	1.264999986	1.309299946	1.254099965
alimony	1.441200018	1.630499959	1.85679996	1.483800054	1.724900007
alive	3.153300047	1.471899986	1.335299969	1.693199992	1.325700045
allegation	1.173799992	2.949100018	2.535900116	2.963500023	2.256700039
alleged	1.267699957	2.499900103	2.158699989	2.549400091	2.311300039
allegiance	2.501699924	1.516700029	1.280900002	1.578799963	1.365300059
allegro	1.64470005	1.378800035	1.33099997	1.372799993	1.341799974
allergic	1.165500045	2.779500008	2.610500097	2.769500017	2.314599991
allergy	1.155200005	2.251100063	2.747100115	2.235599995	2.236999989
alleviate	3.006599903	1.227100015	1.264099956	1.255800009	1.204900026
alley	1.476899981	1.784000039	1.686200023	1.739799976	1.864599943
alleyway	1.337000012	1.738899946	1.202700019	1.265100002	3.087800026
alliance	2.893399954	1.349400043	1.335899949	1.391899943	1.279999971
allied	2.752199888	1.244099975	1.279000044	1.267500043	1.227499962
alligator	1.588000059	1.969400048	1.856600046	2.543900013	1.850299954
allow	2.74000001	1.190600038	1.211400032	1.235900044	1.171800017
allowance	3.40899992	1.228800058	1.28429997	1.28489995	1.192899942
alloy	1.648300052	1.272600055	1.241600037	1.265900016	1.272500038
allure	3.485800028	1.233299971	1.288800001	1.295899987	1.192100048
alluring	3.367399931	1.250800014	1.29369998	1.311499953	1.207299948
ally	2.713099957	1.416200042	1.284700036	1.4727	1.290899992
almanac	1.843700051	1.252699971	1.234300017	1.25759995	1.251299977
almighty	2.875299931	1.37530005	1.345600009	1.435899973	1.292000055
almond	2.079600096	1.205199957	1.186100006	1.231699944	1.194900036
aloha	3.667999983	1.200099945	1.26880002	1.24909997	1.168900013
alone	1.399600029	1.878999949	1.80219996	1.768599987	2.141400099
aloof	1.555799961	1.41260004	1.462599993	1.362900019	1.470299959
alpha	1.819800019	1.294199944	1.233199954	1.291700006	1.262699962
alphabet	2.362900019	1.224900007	1.233100057	1.248900056	1.216199994
alphabetical	2.637200117	1.19599998	1.210299969	1.236700058	1.179299951
alpine	2.390500069	1.251999974	1.263800025	1.264999986	1.245200038
altar	2.194900036	1.3477	1.308200002	1.351400018	1.296800017
altar boy	1.595299959	1.365399957	1.375399947	1.340000033	1.371700048
alter	1.555199981	1.474099994	1.264000058	1.403800011	1.671900034
alteration	1.633599997	1.341099977	1.211599946	1.32190001	1.401100039
altercation	1.264400005	2.712500095	2.215500116	2.960000038	2.237699986
alternate	1.663900018	1.307199955	1.290099978	1.308200002	1.302999973
alternating	1.952499986	1.412999988	1.34070003	1.446799994	1.33949995
alternative	1.715899944	1.292999983	1.230200052	1.286200047	1.266499996
altimeter	1.551300049	1.424399972	1.42750001	1.373100042	1.531200051
altitude	1.795600057	1.402199984	1.336300015	1.410099983	1.338199973
aluminum	1.658900023	1.351799965	1.256600022	1.345299959	1.334200025
alumnus	1.585999966	1.268300056	1.199900031	1.243700027	1.339699984
alzheimers	1.213400006	2.512000084	3.289999962	2.855000019	1.988000035
amaretto	2.819200039	1.305699944	1.336699963	1.353999972	1.266499996
amateur	1.550999999	1.380800009	1.359200001	1.331699967	1.502400041
amaze	3.695899963	1.264899969	1.315000057	1.341300011	1.205800056
amazed	3.904999971	1.301200032	1.335800052	1.396100044	1.219699979
amazement	3.678800106	1.350900054	1.350700021	1.477499962	1.258999944
amazing	3.906800032	1.294800043	1.313300014	1.41050005	1.213099957
ambassador	1.901499987	1.32190001	1.253000021	1.320799947	1.276299953
amber	2.509599924	1.221500039	1.226999998	1.245900035	1.209400058
ambience	3.203299999	1.246500015	1.293400049	1.289399981	1.21510005
ambient	3.260400057	1.218999982	1.28670001	1.268300056	1.189599991
ambiguous	1.720700026	1.395599961	1.35619998	1.40199995	1.348099947
ambition	3.644999981	1.246700048	1.287899971	1.323600054	1.191300035
ambitious	2.903599977	1.41110003	1.386700034	1.576099992	1.334499955
ambrosia	2.762900114	1.319100022	1.324100018	1.334699988	1.273800015
ambulance	1.436100006	2.029299974	1.992300034	2.544800043	1.694700003
ambush	1.168499947	2.84890008	2.546299934	2.872499943	2.276799917
amend	2.650000095	1.231600046	1.270300031	1.26639998	1.215999961
amendment	2.293800116	1.282099962	1.309200048	1.314700007	1.265699983
amends	3.381700039	1.222800016	1.272799969	1.26789999	1.191499949
amiable	3.164700031	1.183200002	1.229099989	1.235900044	1.156999946
amino	1.52760005	1.351400018	1.187700033	1.283900023	1.676200032
ammo	1.463600039	2.664999962	1.788499951	2.183199883	2.016499996
ammonia	1.43659997	1.71239996	2.175199986	1.636999965	1.559200048
ammonium	1.425999999	1.970600009	1.717399955	1.769600034	2.08010006
ammunition	1.639099956	2.48239994	1.593700051	2.071700096	1.824800014
amnesia	1.377300024	2.085700035	2.111299992	2.432899952	1.728700042
amnesty	1.784399986	1.321099997	1.258399963	1.321099997	1.283300042
amorous	2.719300032	1.353299975	1.316400051	1.375200033	1.284999967
amount	1.837700009	1.282699943	1.272699952	1.292700052	1.279399991
amour	3.060899973	1.381199956	1.373399973	1.487900019	1.30490005
amp	2.296000004	1.499199986	1.495599985	1.646600008	1.399999976
amphibian	1.77670002	1.273100019	1.260100007	1.279700041	1.272799969
amphibious	2.113100052	1.679299951	1.660099983	2.164700031	1.504600048
ample	2.206599951	1.23360002	1.228500009	1.249500036	1.227100015
amputate	1.13499999	2.834800005	3.289299965	2.933300018	2.424400091
amputation	1.105200052	2.700200081	3.788700104	2.99119997	2.159300089
amuck	1.515100002	1.806599975	1.933300018	2.190299988	1.690500021
amulet	2.418499947	1.327499986	1.303799987	1.328600049	1.282199979
amuse	3.458699942	1.318799973	1.288200021	1.417000055	1.226600051
amused	3.572400093	1.218500018	1.278399944	1.282899976	1.179299951
amusement	3.437200069	1.286499977	1.283800006	1.355200052	1.213400006
amusing	3.812700033	1.244099975	1.284199953	1.329699993	1.184200048
anaconda	1.654800057	1.938300014	1.721699953	2.631299973	1.667299986
anagram	1.539899945	1.514999986	1.486999989	1.468199968	1.637099981
anal	1.404099941	2.032700062	1.916200042	1.946400046	2.039000034
analogy	1.740200043	1.368299961	1.324000001	1.373000026	1.326200008
analysis	1.691200018	1.311499953	1.254299998	1.307199955	1.284500003
analyst	1.655400038	1.320000052	1.31219995	1.321400046	1.315400004
analytical	2.553900003	1.335399985	1.275599957	1.333400011	1.264299989
analyze	2.214900017	1.34920001	1.293599963	1.34920001	1.291000009
analyzer	1.548099995	1.293799996	1.177800059	1.24240005	1.529299974
anaphylactic	1.463199973	2.204600096	1.968000054	2.73939991	2.039599895
anarchist	1.225000024	2.243900061	1.826300025	1.735599995	3.249000072
anarchy	1.471300006	1.893300056	1.958899975	2.382499933	1.60769999
anatomy	3.025500059	1.337499976	1.324399948	1.381199956	1.265499949
ancestor	3.230200052	1.260100007	1.32280004	1.313599944	1.224599957
ancestral	3.410399914	1.228099942	1.299000025	1.280500054	1.193899989
ancestry	2.923599958	1.280599952	1.403599977	1.400500059	1.239899993
anchor	1.647300005	1.289100051	1.270799994	1.287799954	1.289800048
anchorage	1.639400005	1.335000038	1.274399996	1.327399969	1.304499984
ancient	3.767299891	1.176200032	1.267500043	1.220900059	1.15260005
android	2.030400038	1.269400001	1.257400036	1.275099993	1.261899948
anecdote	2.299599886	1.445500016	1.335700035	1.514099956	1.337900043
